Unnamed: 0,drug_a_name,drug_b_name,cell,synergy,drug1_db,drug2_db,synergistic
5-FU_DASATINIB_NCIH1650,5-FU,DASATINIB,15,23.23497071,0,4,1
5-FU_DASATINIB_NCIH2122,5-FU,DASATINIB,24,-31.1947196,0,4,0
5-FU_DASATINIB_NCIH23,5-FU,DASATINIB,12,11.55914675,0,4,1
5-FU_DASATINIB_NCIH460,5-FU,DASATINIB,17,21.6687261,0,4,1
5-FU_DASATINIB_NCIH520,5-FU,DASATINIB,4,42.73505144,0,4,1
5-FU_DASATINIB_OV90,5-FU,DASATINIB,8,0.433034774,0,4,1
5-FU_DASATINIB_RKO,5-FU,DASATINIB,2,17.31163283,0,4,1
5-FU_DASATINIB_RPMI7951,5-FU,DASATINIB,1,19.06355103,0,4,1
5-FU_DASATINIB_SKMEL30,5-FU,DASATINIB,25,-4.618694814,0,4,0
5-FU_DASATINIB_SKMES1,5-FU,DASATINIB,22,2.981820492,0,4,1
5-FU_DASATINIB_SKOV3,5-FU,DASATINIB,26,1.304656068,0,4,1
5-FU_DASATINIB_SW620,5-FU,DASATINIB,10,30.44463084,0,4,1
5-FU_DASATINIB_SW837,5-FU,DASATINIB,18,15.87733689,0,4,1
5-FU_DASATINIB_T47D,5-FU,DASATINIB,11,18.86560141,0,4,1
5-FU_DASATINIB_UACC62,5-FU,DASATINIB,19,12.12396034,0,4,1
5-FU_DASATINIB_VCAP,5-FU,DASATINIB,7,21.45572644,0,4,1
5-FU_DASATINIB_ZR751,5-FU,DASATINIB,6,5.114279433,0,4,1
5-FU_ERLOTINIB_A2058,5-FU,ERLOTINIB,9,9.694285755,0,14,1
5-FU_ERLOTINIB_A2780,5-FU,ERLOTINIB,27,16.5693311,0,14,1
5-FU_ERLOTINIB_A375,5-FU,ERLOTINIB,20,13.96439243,0,14,1
5-FU_ERLOTINIB_CAOV3,5-FU,ERLOTINIB,14,-7.951635169,0,14,0
5-FU_ERLOTINIB_DLD1,5-FU,ERLOTINIB,23,10.18127129,0,14,1
5-FU_ERLOTINIB_ES2,5-FU,ERLOTINIB,3,15.1231625,0,14,1
5-FU_ERLOTINIB_HCT116,5-FU,ERLOTINIB,28,14.45297793,0,14,1
5-FU_ERLOTINIB_HT144,5-FU,ERLOTINIB,5,9.559453271,0,14,1
5-FU_ERLOTINIB_HT29,5-FU,ERLOTINIB,0,11.33747162,0,14,1
5-FU_ERLOTINIB_KPL1,5-FU,ERLOTINIB,21,-3.015273458,0,14,0
5-FU_ERLOTINIB_LOVO,5-FU,ERLOTINIB,13,12.41733168,0,14,1
5-FU_ERLOTINIB_MDAMB436,5-FU,ERLOTINIB,16,16.1498979,0,14,1
5-FU_ERLOTINIB_NCIH1650,5-FU,ERLOTINIB,15,0.92478625,0,14,1
5-FU_ERLOTINIB_NCIH2122,5-FU,ERLOTINIB,24,24.45497683,0,14,1
5-FU_ERLOTINIB_NCIH23,5-FU,ERLOTINIB,12,6.37341014,0,14,1
5-FU_ERLOTINIB_NCIH460,5-FU,ERLOTINIB,17,17.22484698,0,14,1
5-FU_ERLOTINIB_NCIH520,5-FU,ERLOTINIB,4,7.235758199,0,14,1
5-FU_ERLOTINIB_OV90,5-FU,ERLOTINIB,8,-11.04004585,0,14,0
5-FU_ERLOTINIB_RKO,5-FU,ERLOTINIB,2,20.98757258,0,14,1
5-FU_ERLOTINIB_RPMI7951,5-FU,ERLOTINIB,1,17.00484175,0,14,1
5-FU_ERLOTINIB_SKMEL30,5-FU,ERLOTINIB,25,13.95488386,0,14,1
5-FU_ERLOTINIB_SKMES1,5-FU,ERLOTINIB,22,21.28942476,0,14,1
5-FU_ERLOTINIB_SKOV3,5-FU,ERLOTINIB,26,16.21061763,0,14,1
5-FU_ERLOTINIB_SW620,5-FU,ERLOTINIB,10,0.494890451,0,14,1
5-FU_ERLOTINIB_SW837,5-FU,ERLOTINIB,18,17.29938762,0,14,1
5-FU_ERLOTINIB_T47D,5-FU,ERLOTINIB,11,-3.049710368,0,14,0
5-FU_ERLOTINIB_UACC62,5-FU,ERLOTINIB,19,17.96898601,0,14,1
5-FU_ERLOTINIB_VCAP,5-FU,ERLOTINIB,7,24.41379314,0,14,1
5-FU_ERLOTINIB_ZR751,5-FU,ERLOTINIB,6,22.8306176,0,14,1
5-FU_GELDANAMYCIN_A2058,5-FU,GELDANAMYCIN,9,7.376709238,0,2,1
5-FU_GELDANAMYCIN_A2780,5-FU,GELDANAMYCIN,27,0.911963942,0,2,1
5-FU_GELDANAMYCIN_A375,5-FU,GELDANAMYCIN,20,7.160975098,0,2,1
5-FU_GELDANAMYCIN_CAOV3,5-FU,GELDANAMYCIN,14,-12.98670671,0,2,0
5-FU_GELDANAMYCIN_DLD1,5-FU,GELDANAMYCIN,23,2.433895807,0,2,1
5-FU_GELDANAMYCIN_ES2,5-FU,GELDANAMYCIN,3,-5.25702499,0,2,0
5-FU_GELDANAMYCIN_HCT116,5-FU,GELDANAMYCIN,28,2.916663442,0,2,1
5-FU_GELDANAMYCIN_HT144,5-FU,GELDANAMYCIN,5,5.372215888,0,2,1
5-FU_GELDANAMYCIN_HT29,5-FU,GELDANAMYCIN,0,-3.946071269,0,2,0
5-FU_GELDANAMYCIN_KPL1,5-FU,GELDANAMYCIN,21,2.330576841,0,2,1
5-FU_GELDANAMYCIN_LOVO,5-FU,GELDANAMYCIN,13,-6.353136659,0,2,0
5-FU_GELDANAMYCIN_MDAMB436,5-FU,GELDANAMYCIN,16,5.799105229,0,2,1
5-FU_GELDANAMYCIN_NCIH1650,5-FU,GELDANAMYCIN,15,-6.752269383,0,2,0
5-FU_GELDANAMYCIN_NCIH2122,5-FU,GELDANAMYCIN,24,-2.692734853,0,2,0
5-FU_GELDANAMYCIN_NCIH23,5-FU,GELDANAMYCIN,12,-9.33481084,0,2,0
5-FU_GELDANAMYCIN_NCIH460,5-FU,GELDANAMYCIN,17,-2.446804514,0,2,0
5-FU_GELDANAMYCIN_NCIH520,5-FU,GELDANAMYCIN,4,3.513037679,0,2,1
5-FU_GELDANAMYCIN_OV90,5-FU,GELDANAMYCIN,8,0.284508898,0,2,1
5-FU_GELDANAMYCIN_RKO,5-FU,GELDANAMYCIN,2,5.246180398,0,2,1
5-FU_GELDANAMYCIN_RPMI7951,5-FU,GELDANAMYCIN,1,-8.084247184,0,2,0
5-FU_GELDANAMYCIN_SKMEL30,5-FU,GELDANAMYCIN,25,-80.63896867,0,2,0
5-FU_GELDANAMYCIN_SKMES1,5-FU,GELDANAMYCIN,22,2.703605277,0,2,1
5-FU_GELDANAMYCIN_SKOV3,5-FU,GELDANAMYCIN,26,-9.188164195,0,2,0
5-FU_GELDANAMYCIN_SW620,5-FU,GELDANAMYCIN,10,-2.851271236,0,2,0
5-FU_GELDANAMYCIN_SW837,5-FU,GELDANAMYCIN,18,-10.01418099,0,2,0
5-FU_GELDANAMYCIN_T47D,5-FU,GELDANAMYCIN,11,30.67999441,0,2,1
5-FU_GELDANAMYCIN_UACC62,5-FU,GELDANAMYCIN,19,-1.345401011,0,2,0
5-FU_GELDANAMYCIN_VCAP,5-FU,GELDANAMYCIN,7,14.04451922,0,2,1
5-FU_GELDANAMYCIN_ZR751,5-FU,GELDANAMYCIN,6,-15.00928456,0,2,0
5-FU_LAPATINIB_A2058,5-FU,LAPATINIB,9,9.192138149,0,1,1
5-FU_LAPATINIB_A2780,5-FU,LAPATINIB,27,8.011124809,0,1,1
5-FU_LAPATINIB_A375,5-FU,LAPATINIB,20,7.497787303,0,1,1
5-FU_LAPATINIB_CAOV3,5-FU,LAPATINIB,14,-6.77752803,0,1,0
5-FU_LAPATINIB_DLD1,5-FU,LAPATINIB,23,11.55462668,0,1,1
5-FU_LAPATINIB_ES2,5-FU,LAPATINIB,3,5.344512472,0,1,1
5-FU_LAPATINIB_HCT116,5-FU,LAPATINIB,28,9.688038389,0,1,1
5-FU_LAPATINIB_HT144,5-FU,LAPATINIB,5,4.670574992,0,1,1
5-FU_LAPATINIB_HT29,5-FU,LAPATINIB,0,4.533085635,0,1,1
5-FU_LAPATINIB_KPL1,5-FU,LAPATINIB,21,-9.537311313,0,1,0
5-FU_LAPATINIB_LOVO,5-FU,LAPATINIB,13,17.4905864,0,1,1
5-FU_LAPATINIB_MDAMB436,5-FU,LAPATINIB,16,3.644635579,0,1,1
5-FU_LAPATINIB_NCIH1650,5-FU,LAPATINIB,15,0.905817371,0,1,1
5-FU_LAPATINIB_NCIH2122,5-FU,LAPATINIB,24,9.956195978,0,1,1
5-FU_LAPATINIB_NCIH23,5-FU,LAPATINIB,12,-8.734799525,0,1,0
5-FU_LAPATINIB_NCIH460,5-FU,LAPATINIB,17,-2.035012581,0,1,0
5-FU_LAPATINIB_NCIH520,5-FU,LAPATINIB,4,-7.263521908,0,1,0
5-FU_LAPATINIB_OV90,5-FU,LAPATINIB,8,-9.295070254,0,1,0
5-FU_LAPATINIB_RKO,5-FU,LAPATINIB,2,11.54453602,0,1,1
5-FU_LAPATINIB_RPMI7951,5-FU,LAPATINIB,1,3.318764866,0,1,1
5-FU_LAPATINIB_SKMEL30,5-FU,LAPATINIB,25,9.483503745,0,1,1
5-FU_LAPATINIB_SKMES1,5-FU,LAPATINIB,22,11.05964102,0,1,1
5-FU_LAPATINIB_SKOV3,5-FU,LAPATINIB,26,7.118783779,0,1,1
5-FU_LAPATINIB_SW620,5-FU,LAPATINIB,10,-2.41819166,0,1,0
5-FU_LAPATINIB_SW837,5-FU,LAPATINIB,18,6.956325429,0,1,1
5-FU_LAPATINIB_T47D,5-FU,LAPATINIB,11,14.90928278,0,1,1
5-FU_LAPATINIB_UACC62,5-FU,LAPATINIB,19,9.119946303,0,1,1
5-FU_LAPATINIB_VCAP,5-FU,LAPATINIB,7,10.63255814,0,1,1
5-FU_LAPATINIB_ZR751,5-FU,LAPATINIB,6,14.67630666,0,1,1
5-FU_SORAFENIB_A2058,5-FU,SORAFENIB,9,1.487456177,0,13,1
5-FU_SORAFENIB_A2780,5-FU,SORAFENIB,27,2.077318362,0,13,1
5-FU_SORAFENIB_A375,5-FU,SORAFENIB,20,1.312446684,0,13,1
5-FU_SORAFENIB_CAOV3,5-FU,SORAFENIB,14,-16.67220342,0,13,0
5-FU_SORAFENIB_DLD1,5-FU,SORAFENIB,23,6.320510556,0,13,1
5-FU_SORAFENIB_ES2,5-FU,SORAFENIB,3,0.126680077,0,13,1
5-FU_SORAFENIB_HCT116,5-FU,SORAFENIB,28,-1.955025391,0,13,0
5-FU_SORAFENIB_HT144,5-FU,SORAFENIB,5,4.459502599,0,13,1
5-FU_SORAFENIB_HT29,5-FU,SORAFENIB,0,-3.551610833,0,13,0
5-FU_SORAFENIB_KPL1,5-FU,SORAFENIB,21,-5.046283575,0,13,0
5-FU_SORAFENIB_LOVO,5-FU,SORAFENIB,13,-13.81534377,0,13,0
5-FU_SORAFENIB_MDAMB436,5-FU,SORAFENIB,16,-4.304317076,0,13,0
5-FU_SORAFENIB_NCIH1650,5-FU,SORAFENIB,15,-2.500149835,0,13,0
5-FU_SORAFENIB_NCIH2122,5-FU,SORAFENIB,24,-3.768823231,0,13,0
5-FU_SORAFENIB_NCIH23,5-FU,SORAFENIB,12,-1.286810998,0,13,0
5-FU_SORAFENIB_NCIH460,5-FU,SORAFENIB,17,-0.895637539,0,13,0
5-FU_SORAFENIB_NCIH520,5-FU,SORAFENIB,4,5.28680143,0,13,1
5-FU_SORAFENIB_OV90,5-FU,SORAFENIB,8,2.416837201,0,13,1
5-FU_SORAFENIB_RKO,5-FU,SORAFENIB,2,1.883583913,0,13,1
5-FU_SORAFENIB_RPMI7951,5-FU,SORAFENIB,1,-5.041472651,0,13,0
5-FU_SORAFENIB_SKMEL30,5-FU,SORAFENIB,25,2.120028283,0,13,1
5-FU_SORAFENIB_SKMES1,5-FU,SORAFENIB,22,0.28515445,0,13,1
5-FU_SORAFENIB_SKOV3,5-FU,SORAFENIB,26,10.2363359,0,13,1
5-FU_SORAFENIB_SW620,5-FU,SORAFENIB,10,0.574152697,0,13,1
5-FU_SORAFENIB_SW837,5-FU,SORAFENIB,18,-8.60896251,0,13,0
5-FU_SORAFENIB_T47D,5-FU,SORAFENIB,11,-4.531377558,0,13,0
5-FU_SORAFENIB_UACC62,5-FU,SORAFENIB,19,0.326449314,0,13,1
5-FU_SORAFENIB_VCAP,5-FU,SORAFENIB,7,1.444307744,0,13,1
5-FU_SORAFENIB_ZR751,5-FU,SORAFENIB,6,-11.36179266,0,13,0
5-FU_SUNITINIB_A2058,5-FU,SUNITINIB,9,9.621620126,0,19,1
5-FU_SUNITINIB_A2780,5-FU,SUNITINIB,27,9.700986375,0,19,1
5-FU_SUNITINIB_A375,5-FU,SUNITINIB,20,7.351048597,0,19,1
5-FU_SUNITINIB_CAOV3,5-FU,SUNITINIB,14,5.092136253,0,19,1
5-FU_SUNITINIB_DLD1,5-FU,SUNITINIB,23,10.90526109,0,19,1
5-FU_SUNITINIB_ES2,5-FU,SUNITINIB,3,14.41382075,0,19,1
5-FU_SUNITINIB_HCT116,5-FU,SUNITINIB,28,7.332783493,0,19,1
5-FU_SUNITINIB_HT144,5-FU,SUNITINIB,5,4.677389118,0,19,1
5-FU_SUNITINIB_HT29,5-FU,SUNITINIB,0,3.379046398,0,19,1
5-FU_SUNITINIB_KPL1,5-FU,SUNITINIB,21,7.229487797,0,19,1
5-FU_SUNITINIB_LOVO,5-FU,SUNITINIB,13,2.082310176,0,19,1
5-FU_SUNITINIB_MDAMB436,5-FU,SUNITINIB,16,5.231389265,0,19,1
5-FU_SUNITINIB_NCIH1650,5-FU,SUNITINIB,15,4.374037921,0,19,1
5-FU_SUNITINIB_NCIH2122,5-FU,SUNITINIB,24,5.838627875,0,19,1
5-FU_SUNITINIB_NCIH23,5-FU,SUNITINIB,12,3.141670668,0,19,1
5-FU_SUNITINIB_NCIH460,5-FU,SUNITINIB,17,7.129324107,0,19,1
5-FU_SUNITINIB_NCIH520,5-FU,SUNITINIB,4,5.810341082,0,19,1
5-FU_SUNITINIB_OV90,5-FU,SUNITINIB,8,3.664358548,0,19,1
5-FU_SUNITINIB_RKO,5-FU,SUNITINIB,2,7.996355114,0,19,1
5-FU_SUNITINIB_RPMI7951,5-FU,SUNITINIB,1,-1.343261089,0,19,0
5-FU_SUNITINIB_SKMEL30,5-FU,SUNITINIB,25,3.667165234,0,19,1
5-FU_SUNITINIB_SKMES1,5-FU,SUNITINIB,22,11.90261481,0,19,1
5-FU_SUNITINIB_SKOV3,5-FU,SUNITINIB,26,18.2643848,0,19,1
5-FU_SUNITINIB_SW620,5-FU,SUNITINIB,10,6.859498039,0,19,1
5-FU_SUNITINIB_SW837,5-FU,SUNITINIB,18,-4.901836837,0,19,0
5-FU_SUNITINIB_T47D,5-FU,SUNITINIB,11,8.941154332,0,19,1
5-FU_SUNITINIB_UACC62,5-FU,SUNITINIB,19,8.795687473,0,19,1
5-FU_SUNITINIB_VCAP,5-FU,SUNITINIB,7,12.48379896,0,19,1
5-FU_SUNITINIB_ZR751,5-FU,SUNITINIB,6,6.169627433,0,19,1
5-FU_ZOLINZA_A2058,5-FU,ZOLINZA,9,-5.508119589,0,20,0
5-FU_ZOLINZA_A2780,5-FU,ZOLINZA,27,-3.848401273,0,20,0
5-FU_ZOLINZA_A375,5-FU,ZOLINZA,20,0.369467134,0,20,1
5-FU_ZOLINZA_CAOV3,5-FU,ZOLINZA,14,-3.518537503,0,20,0
5-FU_ZOLINZA_DLD1,5-FU,ZOLINZA,23,0.049805671,0,20,1
5-FU_ZOLINZA_ES2,5-FU,ZOLINZA,3,-1.689816761,0,20,0
5-FU_ZOLINZA_HCT116,5-FU,ZOLINZA,28,-8.735905545,0,20,0
5-FU_ZOLINZA_HT144,5-FU,ZOLINZA,5,-4.394725666,0,20,0
5-FU_ZOLINZA_HT29,5-FU,ZOLINZA,0,-1.42768389,0,20,0
5-FU_ZOLINZA_KPL1,5-FU,ZOLINZA,21,-4.343384834,0,20,0
5-FU_ZOLINZA_LOVO,5-FU,ZOLINZA,13,-8.398048463,0,20,0
5-FU_ZOLINZA_MDAMB436,5-FU,ZOLINZA,16,4.86044214,0,20,1
5-FU_ZOLINZA_NCIH1650,5-FU,ZOLINZA,15,0.631303772,0,20,1
5-FU_ZOLINZA_NCIH2122,5-FU,ZOLINZA,24,10.65626958,0,20,1
5-FU_ZOLINZA_NCIH23,5-FU,ZOLINZA,12,-15.10567636,0,20,0
5-FU_ZOLINZA_NCIH460,5-FU,ZOLINZA,17,7.057218329,0,20,1
5-FU_ZOLINZA_NCIH520,5-FU,ZOLINZA,4,-7.702952771,0,20,0
5-FU_ZOLINZA_OV90,5-FU,ZOLINZA,8,-0.210268239,0,20,0
5-FU_ZOLINZA_RKO,5-FU,ZOLINZA,2,11.04834069,0,20,1
5-FU_ZOLINZA_RPMI7951,5-FU,ZOLINZA,1,-0.240638175,0,20,0
5-FU_ZOLINZA_SKMEL30,5-FU,ZOLINZA,25,-4.880397628,0,20,0
5-FU_ZOLINZA_SKMES1,5-FU,ZOLINZA,22,14.06216364,0,20,1
5-FU_ZOLINZA_SKOV3,5-FU,ZOLINZA,26,5.702955068,0,20,1
5-FU_ZOLINZA_SW620,5-FU,ZOLINZA,10,-17.22800516,0,20,0
5-FU_ZOLINZA_SW837,5-FU,ZOLINZA,18,-3.532158377,0,20,0
5-FU_ZOLINZA_T47D,5-FU,ZOLINZA,11,7.530007948,0,20,1
5-FU_ZOLINZA_UACC62,5-FU,ZOLINZA,19,3.932423451,0,20,1
5-FU_ZOLINZA_VCAP,5-FU,ZOLINZA,7,22.99565591,0,20,1
5-FU_ZOLINZA_ZR751,5-FU,ZOLINZA,6,-20.67751276,0,20,0
ABT-888_GELDANAMYCIN_A2058,ABT-888,GELDANAMYCIN,9,22.66972082,18,2,1
ABT-888_GELDANAMYCIN_A2780,ABT-888,GELDANAMYCIN,27,11.09323155,18,2,1
ABT-888_GELDANAMYCIN_A375,ABT-888,GELDANAMYCIN,20,11.68003927,18,2,1
ABT-888_GELDANAMYCIN_CAOV3,ABT-888,GELDANAMYCIN,14,16.7029633,18,2,1
ABT-888_GELDANAMYCIN_DLD1,ABT-888,GELDANAMYCIN,23,3.978183476,18,2,1
ABT-888_GELDANAMYCIN_ES2,ABT-888,GELDANAMYCIN,3,0.337882732,18,2,1
ABT-888_GELDANAMYCIN_HCT116,ABT-888,GELDANAMYCIN,28,22.97216302,18,2,1
ABT-888_GELDANAMYCIN_HT144,ABT-888,GELDANAMYCIN,5,2.985761376,18,2,1
ABT-888_GELDANAMYCIN_HT29,ABT-888,GELDANAMYCIN,0,-4.782981467,18,2,0
ABT-888_GELDANAMYCIN_KPL1,ABT-888,GELDANAMYCIN,21,15.32356048,18,2,1
ABT-888_GELDANAMYCIN_LOVO,ABT-888,GELDANAMYCIN,13,13.06813937,18,2,1
ABT-888_GELDANAMYCIN_MDAMB436,ABT-888,GELDANAMYCIN,16,17.35034091,18,2,1
ABT-888_GELDANAMYCIN_NCIH1650,ABT-888,GELDANAMYCIN,15,-5.261806453,18,2,0
ABT-888_GELDANAMYCIN_NCIH2122,ABT-888,GELDANAMYCIN,24,6.877978069,18,2,1
ABT-888_GELDANAMYCIN_NCIH23,ABT-888,GELDANAMYCIN,12,-6.233105646,18,2,0
ABT-888_GELDANAMYCIN_NCIH460,ABT-888,GELDANAMYCIN,17,-2.126961774,18,2,0
ABT-888_GELDANAMYCIN_NCIH520,ABT-888,GELDANAMYCIN,4,-1.957498827,18,2,0
ABT-888_GELDANAMYCIN_OV90,ABT-888,GELDANAMYCIN,8,-8.587738631,18,2,0
ABT-888_GELDANAMYCIN_RKO,ABT-888,GELDANAMYCIN,2,33.83147768,18,2,1
ABT-888_GELDANAMYCIN_RPMI7951,ABT-888,GELDANAMYCIN,1,0.646568958,18,2,1
ABT-888_GELDANAMYCIN_SKMEL30,ABT-888,GELDANAMYCIN,25,30.34189343,18,2,1
ABT-888_GELDANAMYCIN_SKMES1,ABT-888,GELDANAMYCIN,22,7.808516678,18,2,1
ABT-888_GELDANAMYCIN_SKOV3,ABT-888,GELDANAMYCIN,26,-10.74656256,18,2,0
ABT-888_GELDANAMYCIN_SW620,ABT-888,GELDANAMYCIN,10,-15.0026455,18,2,0
ABT-888_GELDANAMYCIN_SW837,ABT-888,GELDANAMYCIN,18,6.088914754,18,2,1
ABT-888_GELDANAMYCIN_T47D,ABT-888,GELDANAMYCIN,11,-27.25381749,18,2,0
ABT-888_GELDANAMYCIN_UACC62,ABT-888,GELDANAMYCIN,19,4.172844076,18,2,1
ABT-888_GELDANAMYCIN_VCAP,ABT-888,GELDANAMYCIN,7,10.28090348,18,2,1
ABT-888_GELDANAMYCIN_ZR751,ABT-888,GELDANAMYCIN,6,-17.08015794,18,2,0
ABT-888_SN-38_A2058,ABT-888,SN-38,9,37.19755244,18,11,1
ABT-888_SN-38_A2780,ABT-888,SN-38,27,27.44316256,18,11,1
ABT-888_SN-38_A375,ABT-888,SN-38,20,29.45915958,18,11,1
ABT-888_SN-38_CAOV3,ABT-888,SN-38,14,41.82261363,18,11,1
ABT-888_SN-38_DLD1,ABT-888,SN-38,23,8.203345162,18,11,1
ABT-888_SN-38_ES2,ABT-888,SN-38,3,4.098810775,18,11,1
ABT-888_SN-38_HCT116,ABT-888,SN-38,28,23.42591491,18,11,1
