"GeneSym","source_desc","protein","cell","Tissue","target_id","weight"
"AURKB",NA,"9212","NCI-H2452","Mesothelioma",-666,1
"BANF1",NA,"8815","NCI-H2452","Mesothelioma",-666,1
"BIRC5",NA,"332","NCI-H2452","Mesothelioma",-666,1
"BRF2",NA,"55290","NCI-H2452","Mesothelioma",-666,1
"BUD31",NA,"8896","NCI-H2452","Mesothelioma",-666,1
"CARS1",NA,"833","NCI-H2452","Mesothelioma",-666,1
"CCT3",NA,"7203","NCI-H2452","Mesothelioma",-666,1
"CCT6A",NA,"908","NCI-H2452","Mesothelioma",-666,1
"CDC123",NA,"8872","NCI-H2452","Mesothelioma",-666,1
"CDC16",NA,"8881","NCI-H2452","Mesothelioma",-666,1
"CDC23",NA,"8697","NCI-H2452","Mesothelioma",-666,1
"CDC27",NA,"996","NCI-H2452","Mesothelioma",-666,1
"CDC45",NA,"8318","NCI-H2452","Mesothelioma",-666,1
"CDK1",NA,"983","NCI-H2452","Mesothelioma",-666,1
"CHEK1",NA,"1111","NCI-H2452","Mesothelioma",-666,1
"CHMP2A",NA,"27243","NCI-H2452","Mesothelioma",-666,1
"CLP1",NA,"10978","NCI-H2452","Mesothelioma",-666,1
"COPA",NA,"1314","NCI-H2452","Mesothelioma",-666,1
"COPB2",NA,"9276","NCI-H2452","Mesothelioma",-666,1
"CPSF3",NA,"51692","NCI-H2452","Mesothelioma",-666,1
"CSE1L",NA,"1434","NCI-H2452","Mesothelioma",-666,1
"DDB1",NA,"1642","NCI-H2452","Mesothelioma",-666,1
"DDX18",NA,"8886","NCI-H2452","Mesothelioma",-666,1
"DHDDS",NA,"79947","NCI-H2452","Mesothelioma",-666,1
"DHX15",NA,"1665","NCI-H2452","Mesothelioma",-666,1
"DONSON",NA,"29980","NCI-H2452","Mesothelioma",-666,1
"EEF2",NA,"1938","NCI-H2452","Mesothelioma",-666,1
"EIF2B3",NA,"8891","NCI-H2452","Mesothelioma",-666,1
"EIF2S1",NA,"1965","NCI-H2452","Mesothelioma",-666,1
"EIF4A3",NA,"9775","NCI-H2452","Mesothelioma",-666,1
"ETF1",NA,"2107","NCI-H2452","Mesothelioma",-666,1
"FAU",NA,"2197","NCI-H2452","Mesothelioma",-666,1
"GINS1",NA,"9837","NCI-H2452","Mesothelioma",-666,1
"GINS2",NA,"51659","NCI-H2452","Mesothelioma",-666,1
"GPN1",NA,"11321","NCI-H2452","Mesothelioma",-666,1
"GPN3",NA,"51184","NCI-H2452","Mesothelioma",-666,1
"HCFC1",NA,"3054","NCI-H2452","Mesothelioma",-666,1
"HMGCS1",NA,"3157","NCI-H2452","Mesothelioma",-666,1
"HNRNPK",NA,"3190","NCI-H2452","Mesothelioma",-666,1
"HSPA9",NA,"3313","NCI-H2452","Mesothelioma",-666,1
"HSPE1",NA,"3336","NCI-H2452","Mesothelioma",-666,1
"INTS9",NA,"55756","NCI-H2452","Mesothelioma",-666,1
"ISCU",NA,"23479","NCI-H2452","Mesothelioma",-666,1
"KIF11",NA,"3832","NCI-H2452","Mesothelioma",-666,1
"LRR1",NA,"122769","NCI-H2452","Mesothelioma",-666,1
"LSM2",NA,"57819","NCI-H2452","Mesothelioma",-666,1
"LSM5",NA,"23658","NCI-H2452","Mesothelioma",-666,1
"LSM6",NA,"11157","NCI-H2452","Mesothelioma",-666,1
"LSM7",NA,"51690","NCI-H2452","Mesothelioma",-666,1
"MCM6",NA,"4175","NCI-H2452","Mesothelioma",-666,1
"MTBP",NA,"27085","NCI-H2452","Mesothelioma",-666,1
"NEDD8",NA,"4738","NCI-H2452","Mesothelioma",-666,1
"NRDE2",NA,"55051","NCI-H2452","Mesothelioma",-666,1
"NUDT21",NA,"11051","NCI-H2452","Mesothelioma",-666,1
"NUF2",NA,"83540","NCI-H2452","Mesothelioma",-666,1
"NUP160",NA,"23279","NCI-H2452","Mesothelioma",-666,1
"NUTF2",NA,"10204","NCI-H2452","Mesothelioma",-666,1
"PAFAH1B1",NA,"5048","NCI-H2452","Mesothelioma",-666,1
"PCNA",NA,"5111","NCI-H2452","Mesothelioma",-666,1
"PHB2",NA,"11331","NCI-H2452","Mesothelioma",-666,1
"PHF5A",NA,"84844","NCI-H2452","Mesothelioma",-666,1
"PLK1",NA,"5347","NCI-H2452","Mesothelioma",-666,1
"POLR2E",NA,"5434","NCI-H2452","Mesothelioma",-666,1
"POLR2F",NA,"5435","NCI-H2452","Mesothelioma",-666,1
"POLR2L",NA,"5441","NCI-H2452","Mesothelioma",-666,1
"POLR3A",NA,"11128","NCI-H2452","Mesothelioma",-666,1
"POLR3B",NA,"55703","NCI-H2452","Mesothelioma",-666,1
"POLR3F",NA,"10621","NCI-H2452","Mesothelioma",-666,1
"PRIM1",NA,"5557","NCI-H2452","Mesothelioma",-666,1
"PRPF19",NA,"27339","NCI-H2452","Mesothelioma",-666,1
"PRPF31",NA,"26121","NCI-H2452","Mesothelioma",-666,1
"PRPF38A",NA,"84950","NCI-H2452","Mesothelioma",-666,1
"PRPF8",NA,"10594","NCI-H2452","Mesothelioma",-666,1
"PSMA1",NA,"5682","NCI-H2452","Mesothelioma",-666,1
"PSMA2",NA,"5683","NCI-H2452","Mesothelioma",-666,1
"PSMA3",NA,"5684","NCI-H2452","Mesothelioma",-666,1
"PSMA4",NA,"5685","NCI-H2452","Mesothelioma",-666,1
"PSMA5",NA,"5686","NCI-H2452","Mesothelioma",-666,1
"PSMA6",NA,"5687","NCI-H2452","Mesothelioma",-666,1
"PSMB2",NA,"5690","NCI-H2452","Mesothelioma",-666,1
"PSMB3",NA,"5691","NCI-H2452","Mesothelioma",-666,1
"PSMB4",NA,"5692","NCI-H2452","Mesothelioma",-666,1
"PUF60",NA,"22827","NCI-H2452","Mesothelioma",-666,1
"RAN",NA,"5901","NCI-H2452","Mesothelioma",-666,1
"RBM22",NA,"55696","NCI-H2452","Mesothelioma",-666,1
"RNGTT",NA,"8732","NCI-H2452","Mesothelioma",-666,1
"RPA1",NA,"6117","NCI-H2452","Mesothelioma",-666,1
"RPL10A",NA,"4736","NCI-H2452","Mesothelioma",-666,1
"RPL11",NA,"6135","NCI-H2452","Mesothelioma",-666,1
"RPL12",NA,"6136","NCI-H2452","Mesothelioma",-666,1
"RPL13",NA,"6137","NCI-H2452","Mesothelioma",-666,1
"RPL15",NA,"6138","NCI-H2452","Mesothelioma",-666,1
"RPL18",NA,"6141","NCI-H2452","Mesothelioma",-666,1
"RPL18A",NA,"6142","NCI-H2452","Mesothelioma",-666,1
"RPL19",NA,"6143","NCI-H2452","Mesothelioma",-666,1
"RPL23",NA,"9349","NCI-H2452","Mesothelioma",-666,1
"RPL27A",NA,"6157","NCI-H2452","Mesothelioma",-666,1
"RPL3",NA,"6122","NCI-H2452","Mesothelioma",-666,1
"RPL30",NA,"6156","NCI-H2452","Mesothelioma",-666,1
"RPL31",NA,"6160","NCI-H2452","Mesothelioma",-666,1
"RPL4",NA,"6124","NCI-H2452","Mesothelioma",-666,1
"RPL5",NA,"6125","NCI-H2452","Mesothelioma",-666,1
"RPL8",NA,"6132","NCI-H2452","Mesothelioma",-666,1
"RPS11",NA,"6205","NCI-H2452","Mesothelioma",-666,1
"RPS12",NA,"6206","NCI-H2452","Mesothelioma",-666,1
"RPS13",NA,"6207","NCI-H2452","Mesothelioma",-666,1
"RPS15",NA,"6209","NCI-H2452","Mesothelioma",-666,1
"RPS15A",NA,"6210","NCI-H2452","Mesothelioma",-666,1
"RPS18",NA,"6222","NCI-H2452","Mesothelioma",-666,1
"RPS19",NA,"6223","NCI-H2452","Mesothelioma",-666,1
"RPS2",NA,"6187","NCI-H2452","Mesothelioma",-666,1
"RPS20",NA,"6224","NCI-H2452","Mesothelioma",-666,1
"RPS24",NA,"6229","NCI-H2452","Mesothelioma",-666,1
"RPS27A",NA,"6233","NCI-H2452","Mesothelioma",-666,1
"RPS29",NA,"6235","NCI-H2452","Mesothelioma",-666,1
"RPS4X",NA,"6191","NCI-H2452","Mesothelioma",-666,1
"RPS6",NA,"6194","NCI-H2452","Mesothelioma",-666,1
"RPS7",NA,"6201","NCI-H2452","Mesothelioma",-666,1
"RPS8",NA,"6202","NCI-H2452","Mesothelioma",-666,1
"RPS9",NA,"6203","NCI-H2452","Mesothelioma",-666,1
"RRM1",NA,"6240","NCI-H2452","Mesothelioma",-666,1
"RRM2",NA,"6241","NCI-H2452","Mesothelioma",-666,1
"SARS1",NA,"6301","NCI-H2452","Mesothelioma",-666,1
"CCT3",NA,"7203","NCI-H2052","Mesothelioma",-666,1
"CDC20",NA,"991","NCI-H2052","Mesothelioma",-666,1
"CDC27",NA,"996","NCI-H2052","Mesothelioma",-666,1
"CDC45",NA,"8318","NCI-H2052","Mesothelioma",-666,1
"CDC7",NA,"8317","NCI-H2052","Mesothelioma",-666,1
"CDK1",NA,"983","NCI-H2052","Mesothelioma",-666,1
"COPA",NA,"1314","NCI-H2052","Mesothelioma",-666,1
"COPB1",NA,"1315","NCI-H2052","Mesothelioma",-666,1
"DONSON",NA,"29980","NCI-H2052","Mesothelioma",-666,1
"DUT",NA,"1854","NCI-H2052","Mesothelioma",-666,1
"EEF2",NA,"1938","NCI-H2052","Mesothelioma",-666,1
"EIF2B4",NA,"8890","NCI-H2052","Mesothelioma",-666,1
"EIF2S1",NA,"1965","NCI-H2052","Mesothelioma",-666,1
"EIF3B",NA,"8662","NCI-H2052","Mesothelioma",-666,1
"EIF4A3",NA,"9775","NCI-H2052","Mesothelioma",-666,1
"ERH",NA,"2079","NCI-H2052","Mesothelioma",-666,1
"ETF1",NA,"2107","NCI-H2052","Mesothelioma",-666,1
"FAU",NA,"2197","NCI-H2052","Mesothelioma",-666,1
"GINS1",NA,"9837","NCI-H2052","Mesothelioma",-666,1
"HINFP",NA,"25988","NCI-H2052","Mesothelioma",-666,1
"HNRNPK",NA,"3190","NCI-H2052","Mesothelioma",-666,1
"HSPE1",NA,"3336","NCI-H2052","Mesothelioma",-666,1
"INTS11",NA,"54973","NCI-H2052","Mesothelioma",-666,1
"KARS1",NA,"3735","NCI-H2052","Mesothelioma",-666,1
"KIF11",NA,"3832","NCI-H2052","Mesothelioma",-666,1
"KPNB1",NA,"3837","NCI-H2052","Mesothelioma",-666,1
"MPHOSPH10",NA,"10199","NCI-H2052","Mesothelioma",-666,1
"NDC80",NA,"10403","NCI-H2052","Mesothelioma",-666,1
"NEDD1",NA,"121441","NCI-H2052","Mesothelioma",-666,1
"NUP93",NA,"9688","NCI-H2052","Mesothelioma",-666,1
"NUS1",NA,"116150","NCI-H2052","Mesothelioma",-666,1
"PAFAH1B1",NA,"5048","NCI-H2052","Mesothelioma",-666,1
"PCNA",NA,"5111","NCI-H2052","Mesothelioma",-666,1
"PHB2",NA,"11331","NCI-H2052","Mesothelioma",-666,1
"PHF5A",NA,"84844","NCI-H2052","Mesothelioma",-666,1
"POLE",NA,"5426","NCI-H2052","Mesothelioma",-666,1
"POLR2L",NA,"5441","NCI-H2052","Mesothelioma",-666,1
"PRIM1",NA,"5557","NCI-H2052","Mesothelioma",-666,1
"PRPF38A",NA,"84950","NCI-H2052","Mesothelioma",-666,1
"PSMA3",NA,"5684","NCI-H2052","Mesothelioma",-666,1
"PSMA5",NA,"5686","NCI-H2052","Mesothelioma",-666,1
"PSMA6",NA,"5687","NCI-H2052","Mesothelioma",-666,1
"PSMB3",NA,"5691","NCI-H2052","Mesothelioma",-666,1
"PSMB4",NA,"5692","NCI-H2052","Mesothelioma",-666,1
"PSMB5",NA,"5693","NCI-H2052","Mesothelioma",-666,1
"PSMC6",NA,"5706","NCI-H2052","Mesothelioma",-666,1
"PUF60",NA,"22827","NCI-H2052","Mesothelioma",-666,1
"RAN",NA,"5901","NCI-H2052","Mesothelioma",-666,1
"RPA1",NA,"6117","NCI-H2052","Mesothelioma",-666,1
"RPA2",NA,"6118","NCI-H2052","Mesothelioma",-666,1
"RPL11",NA,"6135","NCI-H2052","Mesothelioma",-666,1
"RPL12",NA,"6136","NCI-H2052","Mesothelioma",-666,1
"RPL15",NA,"6138","NCI-H2052","Mesothelioma",-666,1
"RPL18A",NA,"6142","NCI-H2052","Mesothelioma",-666,1
"RPL23",NA,"9349","NCI-H2052","Mesothelioma",-666,1
"RPL27A",NA,"6157","NCI-H2052","Mesothelioma",-666,1
"RPL3",NA,"6122","NCI-H2052","Mesothelioma",-666,1
"RPL31",NA,"6160","NCI-H2052","Mesothelioma",-666,1
"RPL4",NA,"6124","NCI-H2052","Mesothelioma",-666,1
"RPL8",NA,"6132","NCI-H2052","Mesothelioma",-666,1
"RPS11",NA,"6205","NCI-H2052","Mesothelioma",-666,1
"RPS12",NA,"6206","NCI-H2052","Mesothelioma",-666,1
"RPS13",NA,"6207","NCI-H2052","Mesothelioma",-666,1
"RPS15A",NA,"6210","NCI-H2052","Mesothelioma",-666,1
"RPS16",NA,"6217","NCI-H2052","Mesothelioma",-666,1
"RPS18",NA,"6222","NCI-H2052","Mesothelioma",-666,1
"RPS19",NA,"6223","NCI-H2052","Mesothelioma",-666,1
"RPS2",NA,"6187","NCI-H2052","Mesothelioma",-666,1
"RPS20",NA,"6224","NCI-H2052","Mesothelioma",-666,1
"RPS27A",NA,"6233","NCI-H2052","Mesothelioma",-666,1
"RPS29",NA,"6235","NCI-H2052","Mesothelioma",-666,1
"RPS3",NA,"6188","NCI-H2052","Mesothelioma",-666,1
"RPS6",NA,"6194","NCI-H2052","Mesothelioma",-666,1
"RPS8",NA,"6202","NCI-H2052","Mesothelioma",-666,1
"RRM1",NA,"6240","NCI-H2052","Mesothelioma",-666,1
"RRM2",NA,"6241","NCI-H2052","Mesothelioma",-666,1
"RRN3",NA,"54700","NCI-H2052","Mesothelioma",-666,1
"SARS1",NA,"6301","NCI-H2052","Mesothelioma",-666,1
"SEC61A1",NA,"29927","NCI-H2052","Mesothelioma",-666,1
"SF3A1",NA,"10291","NCI-H2052","Mesothelioma",-666,1
"SF3B4",NA,"10262","NCI-H2052","Mesothelioma",-666,1
"SF3B5",NA,"83443","NCI-H2052","Mesothelioma",-666,1
"SNRNP200",NA,"23020","NCI-H2052","Mesothelioma",-666,1
"SNRPA1",NA,"6627","NCI-H2052","Mesothelioma",-666,1
"SNRPB",NA,"6628","NCI-H2052","Mesothelioma",-666,1
"SNRPD1",NA,"6632","NCI-H2052","Mesothelioma",-666,1
"SNRPD2",NA,"6633","NCI-H2052","Mesothelioma",-666,1
"SNRPF",NA,"6636","NCI-H2052","Mesothelioma",-666,1
"SNU13",NA,"4809","NCI-H2052","Mesothelioma",-666,1
"SRSF3",NA,"6428","NCI-H2052","Mesothelioma",-666,1
"SRSF7",NA,"6432","NCI-H2052","Mesothelioma",-666,1
"THOC2",NA,"57187","NCI-H2052","Mesothelioma",-666,1
"TOP2A",NA,"7153","NCI-H2052","Mesothelioma",-666,1
"TUBGCP5",NA,"114791","NCI-H2052","Mesothelioma",-666,1
"TXNL4A",NA,"10907","NCI-H2052","Mesothelioma",-666,1
"VCP",NA,"7415","NCI-H2052","Mesothelioma",-666,1
"WDR43",NA,"23160","NCI-H2052","Mesothelioma",-666,1
"WDR74",NA,"54663","NCI-H2052","Mesothelioma",-666,1
"WEE1",NA,"7465","NCI-H2052","Mesothelioma",-666,1
"ZNHIT2",NA,"741","NCI-H2052","Mesothelioma",-666,1
"RPS23",NA,"6228","NCI-H2052","Mesothelioma",-666,1
"RPAP1",NA,"26015","NCI-H2052","Mesothelioma",-666,1
"MCM7",NA,"4176","NCI-H2052","Mesothelioma",-666,1
"SRP9",NA,"6726","NCI-H2052","Mesothelioma",-666,1
"PSMA7",NA,"5688","NCI-H2052","Mesothelioma",-666,1
"POLR3A",NA,"11128","NCI-H2052","Mesothelioma",-666,1
"CDC123",NA,"8872","NCI-H2052","Mesothelioma",-666,1
"RPS5",NA,"6193","NCI-H2052","Mesothelioma",-666,1
"CCT2",NA,"10576","NCI-H2052","Mesothelioma",-666,1
"RPS4X",NA,"6191","NCI-H2052","Mesothelioma",-666,1
"SRP54",NA,"6729","NCI-H2052","Mesothelioma",-666,1
"RUVBL1",NA,"8607","NCI-H2052","Mesothelioma",-666,1
"LRR1",NA,"122769","NCI-H2052","Mesothelioma",-666,1
"SF1",NA,"7536","NCI-H2052","Mesothelioma",-666,1
"PRPF8",NA,"10594","NCI-H2052","Mesothelioma",-666,1
"RPL6",NA,"6128","NCI-H2052","Mesothelioma",-666,1
"RPLP0",NA,"6175","NCI-H2052","Mesothelioma",-666,1
"ATP6V1B2",NA,"526","NCI-H2052","Mesothelioma",-666,1
"ESPL1",NA,"9700","NCI-H2052","Mesothelioma",-666,1
"PRPF31",NA,"26121","NCI-H2052","Mesothelioma",-666,1
"RAD21",NA,"5885","NCI-H2052","Mesothelioma",-666,1
"EFTUD2",NA,"9343","NCI-H2052","Mesothelioma",-666,1
"BRF2",NA,"55290","NCI-H2052","Mesothelioma",-666,1
"COPB2",NA,"9276","NCI-H2052","Mesothelioma",-666,1
"RPL10A",NA,"4736","NCI-H2052","Mesothelioma",-666,1
"ANKLE2",NA,"23141","NCI-H2052","Mesothelioma",-666,1
"RUVBL2",NA,"10856","NCI-H2052","Mesothelioma",-666,1
"PLK1",NA,"5347","NCI-H2052","Mesothelioma",-666,1
"AARS1",NA,"16","MPP 89","Mesothelioma",-666,1
"ANAPC11",NA,"51529","MPP 89","Mesothelioma",-666,1
"ANKLE2",NA,"23141","MPP 89","Mesothelioma",-666,1
"ATP6V0C",NA,"527","MPP 89","Mesothelioma",-666,1
"BRF2",NA,"55290","MPP 89","Mesothelioma",-666,1
"BUD31",NA,"8896","MPP 89","Mesothelioma",-666,1
"CDC123",NA,"8872","MPP 89","Mesothelioma",-666,1
"CDC20",NA,"991","MPP 89","Mesothelioma",-666,1
"CDC27",NA,"996","MPP 89","Mesothelioma",-666,1
"CDC45",NA,"8318","MPP 89","Mesothelioma",-666,1
"CDC5L",NA,"988","MPP 89","Mesothelioma",-666,1
"CDK1",NA,"983","MPP 89","Mesothelioma",-666,1
"COPA",NA,"1314","MPP 89","Mesothelioma",-666,1
